Category_id,Category_url
c11753,https://tiki.vn/tri-ran-nut-da/c11753
c11755,https://tiki.vn/kem-tan-mo/c11755
c10218,https://tiki.vn/bo-san-pham-tieu-dung-cho-nu/c10218
c10220,https://tiki.vn/bo-cham-soc-toan-than-khac/c10220
c10225,https://tiki.vn/bo-cham-soc-toc-va-co-the/c10225
c17460,https://tiki.vn/bo-san-pham-cham-soc-co-the/c17460
c11731,https://tiki.vn/san-chac-da/c11731
c4413,https://tiki.vn/sua-duong-the/c4413
c8216,https://tiki.vn/duong-am/c8216
c8217,https://tiki.vn/duong-trang/c8217
c11739,https://tiki.vn/chong-nang-dang-xit/c11739
c11741,https://tiki.vn/chong-nang-dang-kem/c11741
c11743,https://tiki.vn/chong-nang-dang-lotion/c11743
c17160,https://tiki.vn/san-pham-chong-nang-khac/c17160
c11747,https://tiki.vn/xit-toan-than/c11747
c17162,https://tiki.vn/lan-xit-khu-mui/c17162
c8220,https://tiki.vn/tay-te-bao-chet/c8220
c8221,https://tiki.vn/massage/c8221
c3449,https://tiki.vn/san-pham-tay-long/c3449
c5900,https://tiki.vn/san-pham-duong-tay-chan/c5900
c11729,https://tiki.vn/tinh-dau-tam/c11729
c13878,https://tiki.vn/bong-tam-sua-tam-xa-bong/c13878
c1598,https://tiki.vn/sua-tam/c1598
c2348,https://tiki.vn/muoi-tam/c2348
c11749,https://tiki.vn/san-pham-lam-hong-nhu-hoa/c11749
c11751,https://tiki.vn/kem-no-va-san-chac-nguc/c11751
c8226,https://tiki.vn/bo-cham-soc-co-the/c8226
c8229,https://tiki.vn/bo-cham-soc-toc-va-da-dau/c8229
c8308,https://tiki.vn/san-pham-sach-khuan/c8308
c8309,https://tiki.vn/san-pham-cham-soc-co-the-khac/c8309
c10228,https://tiki.vn/bo-san-pham-cham-soc-rang-mieng/c10228
c11833,https://tiki.vn/ban-chai-danh-rang/c11833
c11835,https://tiki.vn/kem-danh-rang/c11835
c11837,https://tiki.vn/tay-trang-rang/c11837
